i	part	claim_index	dup_of
581	p2	760	319
582	p2	761	320
583	p2	762	321
584	p2	763	322
585	p2	764	323
586	p2	765	324
587	p2	766	325
588	p2	767	326
589	p2	768	327
590	p2	769	328
591	p2	770	329
592	p2	771	330
593	p2	772	331
594	p2	773	332
595	p2	774	333
596	p2	775	334
597	p2	776	335
598	p2	777	336
599	p2	778	337
600	p2	779	338
601	p2	780	339
602	p2	781	340
603	p2	782	341
604	p2	783	342
605	p2	784	343
606	p2	785	344
607	p2	786	345
608	p2	787	346
609	p2	788	347
610	p2	789	348
611	p2	790	349
612	p2	791	350
613	p2	792	351
614	p2	793	352
615	p2	794	353
616	p2	795	354
617	p2	796	355
618	p2	797	356
619	p2	798	357
620	p2	799	358
621	p2	800	359
622	p2	801	360
623	p2	802	361
624	p2	803	362
625	p2	804	363
626	p2	805	364
627	p2	806	365
628	p2	807	366
629	p2	808	367
630	p2	809	368
631	p2	810	369
632	p2	811	370
633	p2	812	371
634	p2	813	372
635	p2	814	373
636	p2	815	374
637	p2	816	375
638	p2	817	376
639	p2	818	377
640	p2	819	378
641	p2	820	379
642	p2	821	380
643	p2	822	381
644	p2	823	382
645	p2	824	383
646	p2	825	384
647	p2	826	385
648	p2	827	386
649	p2	828	387
650	p2	829	388
651	p2	830	389
652	p2	831	390
653	p2	832	391
654	p2	833	392
655	p2	834	393
656	p2	835	394
657	p2	836	395
658	p2	837	396
659	p2	838	397
660	p2	839	398
661	p2	840	399
662	p2	841	400
663	p2	842	401
664	p2	843	402
665	p2	844	403
666	p2	845	404
667	p2	846	405
668	p2	847	406
669	p2	848	407
670	p2	849	408
671	p2	850	409
672	p2	851	410
673	p2	852	411
674	p2	853	412
675	p2	854	413
676	p2	855	414
677	p2	856	415
678	p2	857	416
679	p2	858	417
680	p2	859	418
681	p2	860	419
682	p2	861	420
683	p2	862	421
684	p2	863	422
685	p2	864	423
686	p2	865	424
687	p2	866	425
688	p2	867	426
689	p2	868	427
690	p2	869	428
691	p2	870	429
692	p2	871	430
693	p2	872	431
694	p2	873	432
695	p2	874	433
696	p2	875	434
697	p2	876	435
698	p2	877	436
699	p2	878	437
700	p2	879	438
701	p2	880	439
702	p2	881	440
703	p2	882	441
704	p2	883	442
705	p2	884	443
706	p2	885	444
707	p2	886	445
708	p2	887	446
709	p2	888	447
710	p2	889	448
711	p2	890	449
712	p2	891	450
713	p2	892	451
714	p2	893	452
715	p2	894	453
716	p2	895	454
717	p2	896	455
718	p2	897	456
719	p2	898	457
720	p2	899	458
721	p2	900	459
722	p2	901	460
723	p2	902	461
724	p2	903	462
725	p2	904	463
726	p2	905	464
727	p2	906	465
728	p2	907	466
729	p2	908	467
730	p2	909	468
731	p2	910	469
732	p2	911	470
733	p2	912	471
734	p2	913	472
735	p2	914	473
736	p2	915	474
737	p2	916	475
738	p2	917	476
739	p2	918	477
740	p2	919	478
741	p2	920	479
742	p2	921	480
743	p2	922	481
744	p2	923	482
745	p2	924	483
746	p2	925	484
747	p2	926	485
748	p2	927	486
749	p2	928	487
750	p2	929	488
751	p2	930	489
752	p2	931	490
753	p2	932	491
754	p2	933	492
755	p2	934	493
756	p2	935	494
757	p2	936	495
758	p2	937	496
759	p2	938	497
760	p2	939	498
761	p2	940	499
762	p2	941	500
763	p2	942	501
764	p2	943	502
765	p2	944	503
766	p2	945	504
767	p2	946	505
768	p2	947	506
769	p2	948	507
770	p2	949	508
771	p2	950	509
772	p2	951	510
773	p2	952	511
774	p2	953	512
775	p2	954	513
776	p2	955	514
777	p2	956	515
778	p2	957	516
779	p2	958	517
780	p2	959	518
781	p2	960	519
782	p2	961	520
783	p2	962	521
784	p2	963	522
785	p2	964	523
786	p2	965	524
787	p2	966	525
788	p2	967	526
789	p2	968	527
790	p2	969	528
791	p2	970	529
792	p2	971	530
793	p2	972	531
794	p2	973	532
795	p2	974	533
796	p2	975	534
797	p2	976	535
798	p2	977	536
799	p2	978	537
800	p2	979	538
801	p2	980	539
802	p2	981	540
803	p2	982	541
804	p2	983	542
805	p2	984	543
806	p2	985	544
807	p2	986	
808	p2	987	
809	p2	988	
810	p2	989	
811	p2	990	
812	p2	991	
813	p2	992	
814	p2	993	
815	p2	994	
816	p2	995	
817	p2	996	
818	p2	997	
819	p2	998	
820	p2	999	
821	p2	1000	
822	p2	1001	
823	p2	1002	
824	p2	1003	
825	p2	1004	
826	p2	1005	
827	p2	1006	
828	p2	1007	
829	p2	1008	
830	p2	1009	
831	p2	1010	
832	p2	1011	
833	p2	1012	
834	p2	1013	
835	p2	1014	
836	p2	1015	
837	p2	1016	
838	p2	1017	
839	p2	1018	
840	p2	1019	
841	p2	1020	
842	p2	1021	
843	p2	1022	
844	p2	1023	
845	p2	1024	
846	p2	1025	
847	p2	1026	
848	p2	1027	
849	p2	1028	
850	p2	1029	
851	p2	1030	
852	p2	1031	
853	p2	1032	
854	p2	1033	
855	p2	1034	
856	p2	1035	
857	p2	1036	
858	p2	1037	
859	p2	1038	
860	p2	1039	
861	p2	1040	
862	p2	1041	
863	p2	1042	
864	p2	1043	
865	p2	1044	
866	p2	1045	
867	p2	1046	
868	p2	1047	
869	p2	1048	
870	p2	1049	
871	p2	1050	
872	p2	1051	
873	p2	1052	
874	p2	1053	
875	p2	1054	
876	p2	1055	
877	p2	1056	
878	p2	1057	
879	p2	1058	
880	p2	1059	
881	p2	1060	
882	p2	1061	
883	p2	1062	
884	p2	1063	
885	p2	1064	
886	p2	1065	
887	p2	1066	
888	p2	1067	
889	p2	1068	
890	p2	1069	
891	p2	1070	
892	p2	1071	
893	p2	1072	
894	p2	1073	
895	p2	1074	
896	p2	1075	
897	p2	1076	
898	p2	1077	
899	p2	1078	
900	p2	1079	
901	p2	1080	
902	p2	1081	
903	p2	1082	
904	p2	1083	
905	p2	1084	
906	p2	1085	
907	p2	1086	
908	p2	1087	
909	p2	1088	
910	p2	1089	
911	p2	1090	
912	p2	1091	
913	p2	1092	
914	p2	1093	
915	p2	1094	
916	p2	1095	
917	p2	1096	
918	p2	1097	
919	p2	1098	
920	p2	1099	
921	p2	1100	
922	p2	1101	
923	p2	1102	
924	p2	1103	
925	p2	1104	
926	p2	1105	
927	p2	1106	
928	p2	1107	
929	p2	1108	
930	p2	1109	
931	p2	1110	
932	p2	1111	
933	p2	1112	
934	p2	1113	
935	p2	1114	
936	p2	1115	
937	p2	1116	
938	p2	1117	
939	p2	1118	
940	p2	1119	
941	p2	1120	
942	p2	1121	
943	p2	1122	
944	p2	1123	
945	p2	1124	
946	p2	1125	
947	p2	1126	
948	p2	1127	
949	p2	1128	
950	p2	1129	
951	p2	1130	
952	p2	1131	
953	p2	1132	
954	p2	1133	
955	p2	1134	
956	p2	1135	
957	p2	1136	
958	p2	1137	
959	p2	1138	
960	p2	1139	
961	p2	1140	
962	p2	1141	
963	p2	1142	
964	p2	1143	
965	p2	1144	
966	p2	1145	
967	p2	1146	
968	p2	1147	
969	p2	1148	
970	p2	1149	
971	p2	1150	
972	p2	1151	
973	p2	1152	
974	p2	1153	
975	p2	1154	
976	p2	1155	
977	p2	1156	
978	p2	1157	
979	p2	1158	
980	p2	1159	
981	p2	1160	
982	p2	1161	
983	p2	1162	
984	p2	1163	
985	p2	1164	
986	p2	1165	
987	p2	1166	
988	p2	1167	
989	p2	1168	
990	p2	1169	
991	p2	1170	
992	p2	1171	
993	p2	1172	
994	p2	1173	
995	p2	1174	
996	p2	1175	
997	p2	1176	
998	p2	1177	
999	p2	1178	
1000	p2	1179	
1001	p2	1180	
1002	p2	1181	
1003	p2	1182	
1004	p2	1183	
1005	p2	1184	
1006	p2	1185	
1007	p2	1186	
1008	p2	1187	
1009	p2	1188	
1010	p2	1189	
1011	p2	1190	
1012	p2	1191	
1013	p2	1192	
1014	p2	1193	
1015	p2	1194	
1016	p2	1195	
1017	p2	1196	
1018	p2	1197	
1019	p2	1198	
1020	p2	1199	
1021	p2	1200	
1022	p2	1201	
1023	p2	1202	
1024	p2	1203	
1025	p2	1204	
1026	p2	1205	
1027	p2	1206	
1028	p2	1207	
1029	p2	1208	
1030	p2	1209	
1031	p2	1210	
1032	p2	1211	
1033	p2	1212	
1034	p2	1213	
1035	p2	1214	
1036	p2	1215	
1037	p2	1216	
1038	p2	1217	
1039	p2	1218	
1040	p2	1219	
1041	p2	1220	
1042	p2	1221	
1043	p2	1222	
1044	p2	1223	
1045	p2	1224	
1046	p2	1225	
1047	p2	1226	
1048	p2	1227	
1049	p2	1228	
1050	p2	1229	
1051	p2	1230	
1052	p2	1231	
1053	p2	1232	
1054	p2	1233	
1055	p2	1234	
1056	p2	1235	
1057	p2	1236	
1058	p2	1237	
1059	p2	1238	
1060	p2	1239	
1061	p2	1240	
1062	p2	1241	
1063	p2	1242	
1064	p2	1243	
1065	p2	1244	
1066	p2	1245	
1067	p2	1246	
1068	p3	1122	943
1069	p3	1123	944
1070	p3	1124	945
1071	p3	1125	946
1072	p3	1126	947
1073	p3	1127	948
1074	p3	1128	949
1075	p3	1129	950
1076	p3	1130	951
1077	p3	1131	952
1078	p3	1132	953
1079	p3	1133	954
1080	p3	1134	955
1081	p3	1135	956
1082	p3	1136	957
1083	p3	1137	958
1084	p3	1138	959
1085	p3	1139	960
1086	p3	1140	961
1087	p3	1141	962
1088	p3	1142	963
1089	p3	1143	964
1090	p3	1144	965
1091	p3	1145	966
1092	p3	1146	967
1093	p3	1147	968
1094	p3	1148	969
1095	p3	1149	970
1096	p3	1150	971
1097	p3	1151	972
1098	p3	1152	973
1099	p3	1153	974
1100	p3	1154	975
1101	p3	1155	976
1102	p3	1156	977
1103	p3	1157	978
1104	p3	1158	979
1105	p3	1159	980
1106	p3	1160	981
1107	p3	1161	982
1108	p3	1162	983
1109	p3	1163	984
1110	p3	1164	985
1111	p3	1165	986
1112	p3	1166	987
1113	p3	1167	988
1114	p3	1168	989
1115	p3	1169	990
1116	p3	1170	991
1117	p3	1171	992
1118	p3	1172	993
1119	p3	1173	994
1120	p3	1174	995
1121	p3	1175	996
1122	p3	1176	997
1123	p3	1177	998
1124	p3	1178	999
1125	p3	1179	1000
1126	p3	1180	1001
1127	p3	1181	1002
1128	p3	1182	1003
1129	p3	1183	1004
1130	p3	1184	1005
1131	p3	1185	1006
1132	p3	1186	1007
1133	p3	1187	1008
1134	p3	1188	1009
1135	p3	1189	1010
1136	p3	1190	1011
1137	p3	1191	1012
1138	p3	1192	1013
1139	p3	1193	1014
1140	p3	1194	1015
1141	p3	1195	1016
1142	p3	1196	1017
1143	p3	1197	1018
1144	p3	1198	1019
1145	p3	1199	1020
1146	p3	1200	1021
1147	p3	1201	1022
1148	p3	1202	1023
1149	p3	1203	1024
1150	p3	1204	1025
1151	p3	1205	1026
1152	p3	1206	1027
1153	p3	1207	1028
1154	p3	1208	1029
1155	p3	1209	1030
1156	p3	1210	1031
1157	p3	1211	1032
1158	p3	1212	1033
1159	p3	1213	1034
1160	p3	1214	1035
1161	p3	1215	1036
1162	p3	1216	1037
1163	p3	1217	1038
1164	p3	1218	1039
1165	p3	1219	1040
1166	p3	1220	1041
1167	p3	1221	1042
1168	p3	1222	1043
1169	p3	1223	1044
1170	p3	1224	1045
1171	p3	1225	1046
1172	p3	1226	1047
1173	p3	1227	1048
1174	p3	1228	1049
1175	p3	1229	1050
1176	p3	1230	1051
1177	p3	1231	1052
1178	p3	1232	1053
1179	p3	1233	1054
1180	p3	1234	1055
1181	p3	1235	1056
1182	p3	1236	1057
1183	p3	1237	1058
1184	p3	1238	1059
1185	p3	1239	1060
1186	p3	1240	1061
1187	p3	1241	1062
1188	p3	1242	1063
1189	p3	1243	1064
1190	p3	1244	1065
1191	p3	1245	1066
1192	p3	1246	1067
1193	p3	1247	
1194	p3	1248	
1195	p3	1249	
1196	p3	1250	
1197	p3	1251	
1198	p3	1252	
1199	p3	1253	
1200	p3	1254	
1201	p3	1255	
1202	p3	1256	
1203	p3	1257	
1204	p3	1258	
1205	p3	1259	
1206	p3	1260	
1207	p3	1261	
1208	p3	1262	
1209	p3	1263	
1210	p3	1264	
1211	p3	1265	
1212	p3	1266	
1213	p3	1267	
1214	p3	1268	
1215	p3	1269	
1216	p3	1270	
1217	p3	1271	
1218	p3	1272	
1219	p3	1273	
1220	p3	1274	
1221	p3	1275	
1222	p3	1276	
1223	p3	1277	
1224	p3	1278	
1225	p3	1279	
1226	p3	1280	
1227	p3	1281	
1228	p3	1282	
1229	p3	1283	
1230	p3	1284	
1231	p3	1285	
1232	p3	1286	
1233	p3	1287	
1234	p3	1288	
1235	p3	1289	
1236	p3	1290	
1237	p3	1291	
1238	p3	1292	
1239	p3	1293	
1240	p3	1294	
1241	p3	1295	
1242	p3	1296	
1243	p3	1297	
1244	p3	1298	
1245	p3	1299	
1246	p3	1300	
1247	p3	1301	
1248	p3	1302	
1249	p3	1303	
1250	p3	1304	
1251	p3	1305	
1252	p3	1306	
1253	p3	1307	
1254	p3	1308	
1255	p3	1309	
1256	p3	1310	
1257	p3	1311	
1258	p3	1312	
1259	p3	1313	
1260	p3	1314	
1261	p3	1315	
1262	p3	1316	
1263	p3	1317	
1264	p3	1318	
1265	p3	1319	
1266	p3	1320	
1267	p3	1321	
1268	p3	1322	
1269	p3	1323	
1270	p3	1324	
