theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host
1083,3.3226023865602987,0.3170450023722695,0.6829549976277305,70.0,13.259574122912978
1084,3.32567034813607,0.3233051385225308,0.6766948614774692,70.0,13.186538526399497
1085,3.328738309711841,0.3295475094014179,0.670452490598582,70.0,13.115281202287681
1086,3.3318062712876126,0.3357716774651654,0.6642283225348345,70.0,13.045732749823767
1087,3.334874232863384,0.3419772090516061,0.6580227909483939,70.0,12.977827794625291
1088,3.3379421944391554,0.3481636744509347,0.6518363255490652,70.0,12.91150468356332
1089,3.3410101560149266,0.3543306479754989,0.645669352024501,70.0,12.846705207928345
1090,3.3440781175906977,0.36047770802862,0.63952229197138,70.0,12.783374351795251
1091,3.347146079166469,0.3666044371723878,0.6333955628276122,70.0,12.721460062888601
1092,3.3502140407422405,0.3727104221944761,0.6272895778055239,70.0,12.66091304357917
1093,3.353282002318012,0.3787952541739019,0.6212047458260981,70.0,12.60168655992983
1094,3.356349963893783,0.3848585285457452,0.6151414714542548,70.0,12.543736266954483
1095,3.359417925469554,0.3908998451648321,0.6091001548351679,70.0,12.487020048468048
1096,3.3624858870453256,0.3969188083682802,0.6030811916317198,70.0,12.431497870092528
1097,3.3655538486210967,0.4029150270369989,0.5970849729630011,70.0,12.3771316441441
1098,3.368621810196868,0.4088881146560703,0.5911118853439297,70.0,12.32388510526961
1099,3.3716897717726395,0.4148376893739851,0.5851623106260149,70.0,12.271723695823836
1100,3.3747577333484107,0.4207633740607662,0.5792366259392338,70.0,12.220614460087125
1101,3.377825694924182,0.4266647963649409,0.5733352036350591,70.0,12.170525946519147
1102,3.380893656499953,0.4325415887693021,0.5674584112306978,70.0,12.121428117328572
1103,3.3839616180757246,0.4383933886455438,0.5616066113544562,70.0,12.073292264711501
1104,3.387029579651496,0.4442198383076801,0.5557801616923199,70.0,12.026090933178578
1105,3.390097541227267,0.4500205850642336,0.5499794149357664,70.0,11.979797847448154
1106,3.393165502803038,0.4557952812692705,0.5442047187307295,70.0,11.93438784543353
1107,3.3962334643788097,0.461543584372121,0.5384564156278789,70.0,11.889836815900367
1108,3.399301425954581,0.4672651569659157,0.5327348430340842,70.0,11.846121640408448
1109,3.402369387530352,0.4729596668348529,0.5270403331651471,70.0,11.803220139190442
1110,3.405437349106124,0.4786267870001798,0.5213732129998202,70.0,11.761111020651972
1111,3.4085053106818948,0.484266195764923,0.515733804235077,70.0,11.719773834206269
1112,3.411573272257666,0.489877576757331,0.510122423242669,70.0,11.679188926183134
1113,3.414641233833437,0.4954606189729846,0.5045393810270153,70.0,11.639337398575396
1114,3.4177091954092087,0.5010150168156331,0.4989849831843669,70.0,11.60020107040641
1115,3.42077715698498,0.506540470136714,0.493459529863286,70.0,11.561762441521745
1116,3.423845118560751,0.5120366842735077,0.4879633157264923,70.0,11.524004658625302
1117,3.426913080136522,0.5175033700860213,0.4824966299139787,70.0,11.486911483394467
1118,3.429981041712294,0.5229402439924669,0.4770597560075332,70.0,11.450467262524523
1119,3.433049003288065,0.5283470280034159,0.4716529719965841,70.0,11.414656899563461
1120,3.436116964863836,0.5337234497546016,0.4662765502453984,70.0,11.379465828410625
1121,3.439184926439608,0.5390692425383357,0.4609307574616643,70.0,11.34487998836293
1122,3.442252888015379,0.5443841453335674,0.4556158546664326,70.0,11.310885800601367
1123,3.44532084959115,0.5496679028345599,0.4503320971654401,70.0,11.277470146019429
1124,3.448388811166921,0.554920265478164,0.4450797345218361,70.0,11.244620344302806
1125,3.451456772742693,0.5601409894697277,0.4398590105302723,70.0,11.21232413417634
1126,3.454524734318464,0.5653298368075841,0.4346701631924159,70.0,11.18056965474143
1127,3.457592695894235,0.57048657530615,0.42951342469385,70.0,11.149345427832236
1128,3.4606606574700063,0.5756109786176227,0.4243890213823774,70.0,11.118640341324845
1129,3.463728619045778,0.5807028262522498,0.4192971737477503,70.0,11.088443633338432
1130,3.466796580621549,0.585761903597195,0.414238096402805,70.0,11.058744877271817
1131,3.46986454219732,0.5907880019339887,0.4092119980660113,70.0,11.029533967622976
1132,3.472932503773092,0.5957809184545423,0.4042190815454577,70.0,11.000801106543094
1133,3.476000465348863,0.600740456275756,0.399259543724244,70.0,10.972536791079794
1134,3.479068426924634,0.6056664244527026,0.3943335755472975,70.0,10.944731801067777
1135,3.4821363885004053,0.6105586379903629,0.3894413620096371,70.0,10.91737718762797
1136,3.485204350076177,0.6154169178539453,0.3845830821460548,70.0,10.8904642622387
1137,3.488272311651948,0.6202410909777838,0.3797589090222162,70.0,10.863984586345278
1138,3.4913402732277192,0.6250309902727764,0.3749690097272236,70.0,10.837929961476556
1139,3.4944082348034904,0.6297864546324439,0.3702135453675561,70.0,10.812292419838833
1140,3.497476196379262,0.634507328937499,0.3654926710625011,70.0,10.787064215360227
1141,3.500544157955033,0.6391934640590191,0.3608065359409809,70.0,10.762237815159478
1142,3.5036121195308043,0.6438447168601973,0.3561552831398027,70.0,10.737805891415494
1143,3.506680081106576,0.6484609501966293,0.3515390498033707,70.0,10.713761313615404
1144,3.509748042682347,0.6530420329152173,0.3469579670847826,70.0,10.690097141159969
1145,3.5128160042581182,0.6575878398516268,0.3424121601483732,70.0,10.666806616307015
1146,3.5158839658338894,0.6620982518263172,0.3379017481736828,70.0,10.643883157434555
1147,3.518951927409661,0.6665731556391722,0.3334268443608278,70.0,10.62132035260624
1148,3.522019888985432,0.6710124440627048,0.3289875559372952,70.0,10.599111953423254
1149,3.525087850561204,0.6754160158338451,0.3245839841661548,70.0,10.57725186914748
1150,3.5281558121369745,0.6797837756443497,0.3202162243556504,70.0,10.555734161081583
1151,3.531223773712746,0.6841156341297676,0.3158843658702324,70.0,10.534553037193055
1152,3.5342917352885173,0.6884115078570459,0.3115884921429541,70.0,10.513702846969275
1153,3.5373596968642884,0.6926713193107241,0.3073286806892759,70.0,10.493178076492132
1154,3.54042765844006,0.6968949968777415,0.3031050031222585,70.0,10.472973343720994
1155,3.543495620015831,0.701082474830883,0.298917525169117,70.0,10.453083393973527
1156,3.5465635815916023,0.7052336933108354,0.2947663066891646,70.0,10.433503095594709
1157,3.549631543167373,0.7093485983068781,0.2906514016931218,70.0,10.41422743580467
1158,3.552699504743145,0.7134271416362237,0.2865728583637764,70.0,10.395251516716643
1159,3.5557674663189163,0.7174692809219994,0.2825307190780007,70.0,10.376570551516828
1160,3.5588354278946874,0.7214749795698866,0.2785250204301134,70.0,10.358179860798364
1161,3.5619033894704586,0.7254442067434426,0.2745557932565575,70.0,10.340074869042052
1162,3.56497135104623,0.7293769373380681,0.2706230626619319,70.0,10.32225110123704
1163,3.5680393126220014,0.7332731519536724,0.2667268480463277,70.0,10.304704179634783
1164,3.5711072741977725,0.7371328368660459,0.2628671631339541,70.0,10.287429820630075
1165,3.574175235773544,0.7409559839969029,0.2590440160030972,70.0,10.270423831763491
1166,3.577243197349316,0.7447425908826724,0.2552574091173276,70.0,10.253682108839454
1167,3.5803111589250864,0.748492660641993,0.251507339358007,70.0,10.237200633154856
1168,3.5833791205008576,0.7522062019419431,0.2477937980580569,70.0,10.220975468833254
1169,3.586447082076629,0.755883228963028,0.244116771036972,70.0,10.205002760259854
