theta_index,Omega_m,Omega_lambda,Omega_tot,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,frw_viable,in_toy_corridor,is_near_flat
72,0.9120829123386874,0.0879170876613126,1.0,0.0879170876613126,16.268430468320794,9.600566535043123,0,1,True
73,0.9100610459117306,0.0899389540882693,1.0,0.0899389540882693,16.253361300509276,9.607582637104253,0,1,True
74,0.9080065881312912,0.0919934118687089,1.0,0.0919934118687089,16.238123237666787,9.614730917515882,0,1,True
75,0.9059193162740116,0.0940806837259883,0.9999999999999999,0.0940806837259883,16.222717464903536,9.62201316516271,0,1,True
76,0.903799011234556,0.0962009887654441,1.0,0.0962009887654441,16.207145224667187,9.629431189272806,0,1,True
77,0.9016454576020316,0.0983545423979685,1.0000000000000002,0.0983545423979685,16.19140781587496,9.636986819894693,0,1,True
78,0.8994584437357238,0.1005415562642762,1.0,0.1005415562642762,16.17550659300271,9.644681908390446,0,1,True
79,0.897237761840116,0.1027622381598839,1.0,0.1027622381598839,16.159442965132527,9.652518327945414,0,1,True
80,0.8949832080391666,0.1050167919608334,1.0,0.1050167919608334,16.14321839496051,9.660497974094918,0,1,True
81,0.8926945824498401,0.1073054175501599,1.0,0.1073054175501599,16.126834397766324,9.668622765268545,0,1,True
82,0.8903716892548444,0.1096283107451556,1.0,0.1096283107451556,16.110292540346148,9.676894643352515,0,1,True
83,0.8880143367745766,0.1119856632254234,1.0,0.1119856632254234,16.093594439910895,9.68531557427067,0,1,True
84,0.8856223375382465,0.1143776624617535,1.0,0.1143776624617535,16.076741762951343,9.693887548584664,0,1,True
85,0.8831955083541464,0.1168044916458536,1.0,0.1168044916458536,16.059736224071962,9.702612582113993,0,1,True
86,0.8807336703790689,0.1192663296209311,1.0,0.1192663296209311,16.04257958479534,9.711492716576416,0,1,True
87,0.8782366491868353,0.1217633508131647,1.0,0.1217633508131647,16.025273652338992,9.720530020249443,0,1,True
88,0.8757042748359146,0.1242957251640854,1.0,0.1242957251640854,16.00782027836635,9.729726588653651,0,1,True
89,0.8731363819361246,0.1268636180638753,1.0,0.1268636180638753,15.990221357713928,9.73908454525837,0,1,True
90,0.8705328097143854,0.1294671902856146,1.0,0.1294671902856146,15.972478827096444,9.74860604221062,0,1,True
91,0.867893402079503,0.132106597920497,1.0,0.132106597920497,15.95459466379174,9.758293261088031,0,1,True
92,0.865218007685983,0.134781992314017,1.0,0.134781992314017,15.936570884307567,9.76814841367647,0,1,True
93,0.8625064799968243,0.1374935200031757,1.0,0.1374935200031757,15.918409543031864,9.778173742773344,0,1,True
94,0.8597586773453059,0.1402413226546941,1.0,0.1402413226546941,15.900112730868557,9.78837152301737,0,1,True
95,0.8569744629957301,0.1430255370042699,1.0,0.1430255370042699,15.88168257386076,9.79874406174568,0,1,True
96,0.8541537052030991,0.1458462947969009,1.0,0.1458462947969009,15.863121231803015,9.809293699879412,0,1,True
97,0.851296277271729,0.1487037227282711,1.0,0.1487037227282711,15.84443089684466,9.820022812838516,0,1,True
98,0.8484020576127655,0.1515979423872344,1.0,0.1515979423872344,15.825613792085925,9.830933811487029,0,1,True
99,0.8454709298005854,0.1545290701994147,1.0,0.1545290701994147,15.806672170168586,9.842029143109832,0,1,True
100,0.8425027826280734,0.1574972173719266,1.0,0.1574972173719266,15.787608311862968,9.853311292422031,0,1,True
101,0.8394975101607626,0.1605024898392374,1.0,0.1605024898392374,15.76842452465294,9.864782782612115,0,1,True
102,0.8364550117897952,0.1635449882102048,1.0,0.1635449882102048,15.749123141320572,9.876446176420288,0,1,True
103,0.833375192283734,0.166624807716266,1.0,0.166624807716266,15.729706518532211,9.88830407725304,0,1,True
104,0.8302579618391549,0.1697420381608451,1.0,0.1697420381608451,15.710177035427394,9.900359130335609,0,1,True
