root_index,radius,maximum_krawczyk_ratio,real_lower,real_upper,imag_lower,imag_upper
49,1.0e-18,7.74633699950791011792959520329e-16,2.770249045848561371263663136664016523481461851667860459256298252921296418084849,2.7702490458485614849876356800865078871931105904367849792504658664321966632330434,-0.000000000000000056861986271711245777259840516640095283561548915360942691973132396557507339910988,0.000000000000000056861986271711245777259840516640095283561548915360942691973132396557507339910988
50,1.0e-18,5.71140735084395948072381798247e-16,4.5131515923645621565965006170928372288262612914782328972673422952795726589901156,4.5131515923645622863751509906688961822678728767154022966642523067659662730395595,-0.000000000000000064889325186788029573421630262023122804458392795884002858911137335733021927736015,0.000000000000000064889325186788029573421630262023122804458392795884002858911137335733021927736015
51,1.0e-18,1.1241175183324941501748432347e-15,1.3018936324289923225213772869006567640494717278182256677058763435598982505692057,1.3018936324289923770661080502860388457007014002795337928479465984302137795693192,-0.000000000000000027272365381692691119807545468462065111364183504498796062800927663663839288111086,0.000000000000000027272365381692691114661993021523569117806043988297945115296477067223978348478137
52,1.0e-18,7.44156511444164530611476318037e-15,-8.9785972147944838520277634027738732576667058422086400070429998543537358937467418,-8.978597214794483394729741337750631027613606460724165150319248829036860452972791,2.5951429549743634724195267830178280523666144232982797520544345454227801920634112,2.5951429549743639297175488480410702824197138047827546087781855707396556327970138
53,1.0e-18,7.44156511444164530611476318037e-15,-8.9785972147944838520277634027738732576667058422086400070429998543537358937467418,-8.978597214794483394729741337750631027613606460724165150319248829036860452972791,-2.5951429549743639297175488480410702824197138047827546087781855707396556327970138,-2.5951429549743634724195267830178280523666144232982797520544345454227801920634112
54,1.0e-18,4.27154981647100940495061344287e-15,4.0962075095078740315269690820651236057970496791495049780786985734932194973203871,4.0962075095078742444707317372095010243594665517469420792268926011245787811101835,-3.4730021160798053348353480127038858170852860021521005110029309369825742241551977,-3.4730021160798051218915853575595083985228691295546634098547369093512149403703758
55,1.0e-18,4.27154981647100940495061344287e-15,4.0962075095078740315269690820651236057970496791495049780786985734932194973203871,4.0962075095078742444707317372095010243594665517469420792268926011245787811101835,3.4730021160798051218915853575595083985228691295546634098547369093512149403703758,3.4730021160798053348353480127038858170852860021521005110029309369825742241551977
56,1.0e-18,3.67126087500962862161211663096e-15,-1.3017799525822975773129550746036491709921042751353245599793666413325687794662894,-1.3017799525822975217050312374671263412111948183292412406962539299587696803333375,1.8708095641168462419927278105029281767487121070457467727367210127700629293398495,1.8708095641168462976006516476394510065296215638518300920198337241438620284730778
57,1.0e-18,3.67126087500962862161211663096e-15,-1.3017799525822975773129550746036491709921042751353245599793666413325687794662894,-1.3017799525822975217050312374671263412111948183292412406962539299587696803333375,-1.8708095641168462976006516476394510065296215638518300920198337241438620284730778,-1.8708095641168462419927278105029281767487121070457467727367210127700629293398495
58,1.0e-18,1.70784267650904273326360573105e-14,-5.9475964063254103534546137467347533120047367697329617427707665654169232768718415,-5.947596406325410142168600166377902629495497539282145366652371967886745029964992,-1.5741565659709430691982393294855410028490424576484855888363938607259310629342963,-1.5741565659709428579122257491286903203398032271976692127179992631957528160382248
59,1.0e-18,1.70784267650904273326360573105e-14,-5.9475964063254103534546137467347533120047367697329617427707665654169232768718415,-5.947596406325410142168600166377902629495497539282145366652371967886745029964992,1.5741565659709428579122257491286903203398032271976692127179992631957528160382248,1.5741565659709430691982393294855410028490424576484855888363938607259310629342963
60,1.0e-22,8.08944038202298069315701090367e-16,0.71694734358435066805738774475479394307107715049176742016236058450944581106227192,0.71694734358435066810373744037400436059279243144472022860172778789264470745412465,-2.2191636654810222232742053068908856455954209353878188721767721125553976804504335,-2.2191636654810222232278556112716752280737056544348660637374049091721987840563699
61,1.0e-22,8.08944038202298069315701090367e-16,0.71694734358435066805738774475479394307107715049176742016236058450944581106227192,0.71694734358435066810373744037400436059279243144472022860172778789264470745412465,2.2191636654810222232278556112716752280737056544348660637374049091721987840563699,2.2191636654810222232742053068908856455954209353878188721767721125553976804504335
62,1.0e-18,1.01612865363980506302203158806e-13,63.77705946221365211121489629690245372456907991789986576949324681833294344965418,63.777059462213652632539948704426042375256883742249452478119080487215516860564777,-0.00000000000000026066252620376179469261048263489661880300395799507974412002423571810339677862666,0.00000000000000026066252620376179469261048263489661880300395799507974412002423571810339677862666
63,1.0e-18,2.10675261574286483521542369734e-15,2.007688985430152523026785001306940916957549192794974891059384973527595973069111,2.0076889854301526131523157226640403253097560396017043810881762494606663844366315,0.84826160824463879481737701360069627334087320239942206361300121822262685275385351,0.84826160824463888494290773495779568169308004920615155364179249415569726411764319
64,1.0e-18,2.10675261574286483521542369734e-15,2.007688985430152523026785001306940916957549192794974891059384973527595973069111,2.0076889854301526131523157226640403253097560396017043810881762494606663844366315,-0.84826160824463888494290773495779568169308004920615155364179249415569726411764319,-0.84826160824463879481737701360069627334087320239942206361300121822262685275385351
