atlas_id,root_index,character_class,local_support_status,local_scheme_status,certification,trace_a,trace_b,trace_A,trace_B,kappa_ab,kappa_aA,kappa_aB,kappa_bA,kappa_bB,kappa_AB,min_complex_jacobian_singular_value
I050,52,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.8638811669145813-3.7467951577048115j),(1.298981587377871+0.043860447349092994j),(0.05657169884985763-0.46600747288330613j),(-1.8514774669200404+0.6566199850348702j),(-8.978597214794483+2.5951429549743628j),(-15.707394485107727+5.520897433708411j),(-7.133538258990342-7.026757750064402j),(-0.5945869316695751+0.25535046801024214j),(-0.06670284287568329-0.7524203823520121j),(4.005050796884487-0.8592070262239735j),0.04878134008462755
I051,53,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.8638811669145813+3.7467951577048115j),(1.298981587377871-0.043860447349092994j),(0.05657169884985763+0.46600747288330613j),(-1.8514774669200404-0.6566199850348702j),(-8.978597214794483-2.5951429549743628j),(-15.707394485107727-5.520897433708411j),(-7.133538258990342+7.026757750064402j),(-0.5945869316695751-0.25535046801024214j),(-0.06670284287568329+0.7524203823520121j),(4.005050796884487+0.8592070262239735j),0.04878134008462755
I052,54,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.7872829692982473-0.05670360725456092j),(2.863479264350033-0.6297694044100717j),(0.9573644397082376-0.15039182584262023j),(-1.7196089175291687+0.21450673186148406j),(4.096207509507874-3.4730021160798055j),(1.124560512596397-0.6626522455951311j),(1.6068056759052944-2.2587971395833613j),(5.141736179137726-3.198231111457913j),(0.1598844883125956+4.501218003068555j),(-3.7990207432381937+2.9062737863193315j),0.08247531301194982
I053,55,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.7872829692982473+0.05670360725456092j),(2.863479264350033+0.6297694044100717j),(0.9573644397082376+0.15039182584262023j),(-1.7196089175291687-0.21450673186148406j),(4.096207509507874+3.4730021160798055j),(1.124560512596397+0.6626522455951311j),(1.6068056759052944+2.2587971395833613j),(5.141736179137726+3.198231111457913j),(0.1598844883125956-4.501218003068555j),(-3.7990207432381937-2.9062737863193315j),0.08247531301194982
I054,56,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.7502861795639252-0.43934875357978365j),(-0.7605000360437412-0.5002938551675482j),(-0.07463451759752796-0.01260786759359167j),(0.12509251375683073+0.05485795868333765j),(-1.3017799525822922+1.8708095641168434j),(-1.6160420455959517+0.6668280070037707j),(1.9623209860229616-0.361957540212724j),(-1.587232108317256+1.710392485779927j),(-1.7152567564965153+0.7654712888848274j),(-2.0094224710055655-0.07005506879411219j),0.02567973929921165
I055,57,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.7502861795639252+0.43934875357978365j),(-0.7605000360437412+0.5002938551675482j),(-0.07463451759752796+0.01260786759359167j),(0.12509251375683073-0.05485795868333765j),(-1.3017799525822922-1.8708095641168434j),(-1.6160420455959517-0.6668280070037707j),(1.9623209860229616+0.361957540212724j),(-1.587232108317256-1.710392485779927j),(-1.7152567564965153-0.7654712888848274j),(-2.0094224710055655+0.07005506879411219j),0.02567973929921165
I056,58,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.6388620629609555-0.7899643603048899j),(-0.9176524625234045-0.14600894127647646j),(-0.2733933186722943+0.013093496043976083j),(-1.56762818832212-0.21352411868312315j),(-5.947596406325402-1.5741565659709615j),(0.5162277113326246+2.036601927674702j),(5.435056666009926+1.600623230867445j),(-0.05599166272885703+0.591297255860826j),(5.760006899325644+2.5733556399339528j),(-9.640976878315275-15.57568625751525j),0.030362987649384436
I057,59,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.6388620629609555+0.7899643603048899j),(-0.9176524625234045+0.14600894127647646j),(-0.2733933186722943-0.013093496043976083j),(-1.56762818832212+0.21352411868312315j),(-5.947596406325402+1.5741565659709615j),(0.5162277113326246-2.036601927674702j),(5.435056666009926-1.600623230867445j),(-0.05599166272885703-0.591297255860826j),(5.760006899325644-2.5733556399339528j),(-9.640976878315275+15.57568625751525j),0.030362987649384436
I058,60,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.5648128464811362-0.27596796688673875j),(0.8915261385264452-0.27729609219654866j),(-1.038847003026122+0.06225241353374811j),(1.721101231483829-0.33049333518464524j),(0.7169473435843239-2.2191636654810694j),(1.0365637173566569+0.2767598591987884j),(4.842076344533739+0.473809622422692j),(1.2262145203476758-1.6765416187982147j),(1.9737051676230837-0.06802603571186872j),(2.330679759050713+2.877263554000912j),0.000591492889716404
I059,61,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.5648128464811362+0.27596796688673875j),(0.8915261385264452+0.27729609219654866j),(-1.038847003026122-0.06225241353374811j),(1.721101231483829+0.33049333518464524j),(0.7169473435843239+2.2191636654810694j),(1.0365637173566569-0.2767598591987884j),(4.842076344533739-0.473809622422692j),(1.2262145203476758+1.6765416187982147j),(1.9737051676230837+0.06802603571186872j),(2.330679759050713-2.877263554000912j),0.000591492889716404
I060,62,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.5439219852037427-4.434443521578636e-32j),(-8.058071355011533+1.0224879463804833e-31j),(1.840070543858541+1.6430166522334066e-32j),(-2.07290602806485+4.0240519399823845e-32j),(63.77705946221508-2.421737661114861e-30j),(3.9039721374665133+9.553581671772121e-32j),(3.177612611808593-3.084251696648939e-31j),(11.770481250289379-2.727701145036059e-31j),(11.743720465241125-2.050652331121599e-30j),(4.480411893040419-4.963998032201252e-31j),0.0013887500697095574
I061,63,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.5020295938762076-0.232650523754731j),(0.37362368170902094-0.6948228397182827j),(-1.0216689753926522-0.14525945536076024j),(1.5007823478149394+0.45587582297126134j),(2.007688985430155+0.8482616082446387j),(0.6876971226548516+1.2141660651803656j),(1.875524327154392-0.23768657976543128j),(1.5702660561514126+0.19490656676424734j),(0.8352477985818361-0.010806800155338858j),(0.8704032613790691+0.8507259854303244j),0.07753452985256379
I062,64,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.5020295938762076+0.232650523754731j),(0.37362368170902094+0.6948228397182827j),(-1.0216689753926522+0.14525945536076024j),(1.5007823478149394-0.45587582297126134j),(2.007688985430155-0.8482616082446387j),(0.6876971226548516-1.2141660651803656j),(1.875524327154392+0.23768657976543128j),(1.5702660561514126-0.19490656676424734j),(0.8352477985818361+0.010806800155338858j),(0.8704032613790691-0.8507259854303244j),0.07753452985256379
I063,65,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.4453021951766552-3.696378720359146e-39j),(4.251464212709322-1.4276975821461709e-37j),(-3.3652532002568702+7.052966104933725e-38j),(0.7366584444864935+7.989688165745235e-39j),(16.86382545870163-1.1454697045376023e-36j),(8.961965882536669-4.5760859425055665e-37j),(6.789773709568674-1.9637670115138064e-37j),(1.1032754599249657+2.2811204122188657e-37j),(38.65673737907431-2.6516544639461873e-36j),(9.7280113862125-4.9821195934572245e-37j),0.0279258932792268
I064,66,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.43588780766130775+5.58986837439609e-27j),(1.834129057497186-1.993771982236243e-27j),(-1.326829500581729+1.4183719075873792e-27j),(1.9051783027306441-1.5989717510764146e-27j),(4.5207797978635975-2.5224812330181726e-26j),(2.4783214804129994+1.8306941461767794e-26j),(2.857172740319289+9.588631372215272e-27j),(5.354233687434973-1.5867524775243104e-26j),(2.014256418645914+3.8087439972066943e-28j),(3.052243931860936+1.3601239988528355e-26j),0.000752250165552572
I065,67,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.42395224784496066-1.8488927466117464e-31j),(-3.4055591866961015+3.4512664603419266e-31j),(2.4939174520057446-1.4174844390690056e-31j),(2.5334407603470215-7.395570986446986e-32j),(12.998370447465131-6.665523819078788e-30j),(4.196400055720046-9.97877677040455e-31j),(33.59737617306746-1.315425265470578e-29j),(-1.5087480514990048+1.9608343932182513e-30j),(-2.4843290370491005+2.507063379608977e-30j),(4.942552241361151-6.49331010324802e-31j),0.020273192974882323
I066,68,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3749612464022875-1.1751764335856811j),(-1.2510564366300367-0.275383972298639j),(0.9375186379152054+0.40101380699972083j),(-1.0081815517512187+0.237943154165985j),(-0.7739680597255321-1.7530300862858093j),(-1.7397251686961477-0.13742005807274849j),(-0.03213725082296914+0.27946861870097606j),(0.5768041263795141+0.886777668613842j),(2.741836087617175-0.6064322711182557j),(-0.22311560105486672+0.08037471336608176j),0.17335601224388741
I067,69,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3749612464022875+1.1751764335856811j),(-1.2510564366300367+0.275383972298639j),(0.9375186379152054-0.40101380699972083j),(-1.0081815517512187-0.237943154165985j),(-0.7739680597255321+1.7530300862858093j),(-1.7397251686961477+0.13742005807274849j),(-0.03213725082296914-0.27946861870097606j),(0.5768041263795141-0.886777668613842j),(2.741836087617175+0.6064322711182557j),(-0.22311560105486672-0.08037471336608176j),0.17335601224388741
I068,70,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3432926239908147-0.1122936850599294j),(1.768768824895961-0.37013056321328486j),(1.8332084908696662+0.05344511413662584j),(0.05810093641991225+0.6500316490766804j),(-2.42019575581575-3.745642353216935j),(1.0509961863376152+0.871291139146067j),(0.9586962924896874-0.09678586400792355j),(1.7867831467306088-0.1823200676213943j),(-1.8968494568142182-4.530984228116978j),(0.595928762700876+0.07336876390169504j),0.09525023185726199
I069,71,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3432926239908147+0.1122936850599294j),(1.768768824895961+0.37013056321328486j),(1.8332084908696662-0.05344511413662584j),(0.05810093641991225-0.6500316490766804j),(-2.42019575581575+3.745642353216935j),(1.0509961863376152-0.871291139146067j),(0.9586962924896874+0.09678586400792355j),(1.7867831467306088+0.1823200676213943j),(-1.8968494568142182+4.530984228116978j),(0.595928762700876-0.07336876390169504j),0.09525023185726199
I070,72,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3362582908383556+1.792540036438976e-29j),(2.97390436829619-1.214676312205252e-28j),(2.0846166036407476-1.1929210075534539e-29j),(-2.7855862198342463-4.039522502555564e-29j),(43.45264876314014-5.006733762830776e-28j),(8.265575307071563+2.6429711472743835e-28j),(5.68188467501305+2.288819933971139e-28j),(2.7103377095298278+3.6662980660633696e-29j),(-0.7128945877622499+2.581463148363721e-29j),(4.983272461632524+6.341279116743997e-29j),0.031994084209358745
I071,73,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.32057649104476194-0.7524352259079864j),(0.006610529421501785-1.2747249788166497j),(-0.24371240667671312-1.3298171169277957j),(2.9265408741762142+0.1747759393323795j),(0.2787160533530417-0.6905015216006871j),(7.167900256375043+0.5305451342321303j),(5.56248797650939+0.2773842008456686j),(0.2777755492362797-0.43569948383224977j),(8.200924032711992+1.4235908431054258j),(7.215814304979395-5.693832739005247j),0.161972543372774
I072,74,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.32057649104476194+0.7524352259079864j),(0.006610529421501785+1.2747249788166497j),(-0.24371240667671312+1.3298171169277957j),(2.9265408741762142-0.1747759393323795j),(0.2787160533530417+0.6905015216006871j),(7.167900256375043-0.5305451342321303j),(5.56248797650939-0.2773842008456686j),(0.2777755492362797+0.43569948383224977j),(8.200924032711992-1.4235908431054258j),(7.215814304979395+5.693832739005247j),0.161972543372774
I073,75,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3130759729641485-0.671831370217763j),(0.5174562628425913+0.3773899774918258j),(0.2051303757665344+1.5536245586026773j),(2.281969424613478-0.29583451566337965j),(0.7358310799724741-0.5490834930425553j),(-1.655789179773231+1.422115227775316j),(2.5433715871093945-0.7230195509100402j),(-2.0399850784106675+2.05767651209467j),(3.19829564382821-1.0410654608970713j),(3.549954178331082-2.3387241623042976j),0.028411287480491723
I074,76,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.3130759729641485+0.671831370217763j),(0.5174562628425913-0.3773899774918258j),(0.2051303757665344-1.5536245586026773j),(2.281969424613478+0.29583451566337965j),(0.7358310799724741+0.5490834930425553j),(-1.655789179773231-1.422115227775316j),(2.5433715871093945+0.7230195509100402j),(-2.0399850784106675-2.05767651209467j),(3.19829564382821+1.0410654608970713j),(3.549954178331082+2.3387241623042976j),0.028411287480491723
R2,77,REDUCIBLE,EXACT_SEMISIMPLE_CHARACTER,TRANSVERSE_FIXED_SCHEME_NOT_CERTIFIED,MU11_WEYL_ORBIT_EXACT_SET_CLASSIFICATION,(-0.28462967654657034-2.220446049250313e-16j),(0.8308300260037729+1.1102230246251565e-16j),(-1.30972146789057+0j),(1.6825070656623624+0j),(2-1.2525103703869897e-16j),(1.9999999999999991-3.6289999243042635e-16j),(2-2.7615476541788683e-16j),(1.9999999999999991-2.4720059624560846e-16j),(2+1.925290501307967e-17j),(1.9999999999999991-2.7217499432281974e-16j),2.030271229834616e-16
I075,78,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.2816096881064533-0.7938626936342563j),(-2.5144878947273512+0.12703088796719458j),(1.5779659178985117+0.2289777102253161j),(0.2574663182303281+0.9568625584656741j),(4.57935165280778-0.9020542168649066j),(-1.4937965608741393+0.9654254269598699j),(-3.311170665790172+1.5044682744383229j),(2.952829836470518-0.9910230049863964j),(1.7688606718569062+0.42123290113075473j),(-0.16602395496467226+0.7845680079388704j),0.037911488864774905
I076,79,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.2816096881064533+0.7938626936342563j),(-2.5144878947273512-0.12703088796719458j),(1.5779659178985117-0.2289777102253161j),(0.2574663182303281-0.9568625584656741j),(4.57935165280778+0.9020542168649066j),(-1.4937965608741393-0.9654254269598699j),(-3.311170665790172-1.5044682744383229j),(2.952829836470518+0.9910230049863964j),(1.7688606718569062-0.42123290113075473j),(-0.16602395496467226-0.7845680079388704j),0.037911488864774905
I077,80,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.2667678916397337-0.18642420824857533j),(-5.148092911929992-2.7351089947517284j),(1.73624697752068+0.05819608627012708j),(-2.188572763773659-0.39739940161437204j),(17.848880856433265+28.414422837401478j),(4.82435366140739+1.118899423040752j),(3.679239359733476+1.408596454798437j),(6.6470532761340735+6.139223524474907j),(9.183854470741707+4.6640596717296035j),(5.375511847974703+1.638221128115923j),0.006639156247078734
I078,81,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.2667678916397337+0.18642420824857533j),(-5.148092911929992+2.7351089947517284j),(1.73624697752068-0.05819608627012708j),(-2.188572763773659+0.39739940161437204j),(17.848880856433265-28.414422837401478j),(4.82435366140739-1.118899423040752j),(3.679239359733476-1.408596454798437j),(6.6470532761340735-6.139223524474907j),(9.183854470741707-4.6640596717296035j),(5.375511847974703-1.638221128115923j),0.006639156247078734
I079,82,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.24128416587038823-0.5240649431949603j),(-0.1999077016172499+0.43369096869563867j),(-2.253863285034088-0.7163136228025999j),(0.8137468660497602-0.10376715809215109j),(-3.5514269007618315+0.22189362947405072j),(2.724226812687699+2.2286218194640366j),(-1.3820524911275052+0.4308155309032983j),(2.0608981457612847+2.38523788147656j),(-0.7883108502471723-0.8274310038493959j),(1.9232440941697213+0.17069361661394833j),0.07928031720687462
I080,83,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.24128416587038823+0.5240649431949603j),(-0.1999077016172499-0.43369096869563867j),(-2.253863285034088+0.7163136228025999j),(0.8137468660497602+0.10376715809215109j),(-3.5514269007618315-0.22189362947405072j),(2.724226812687699-2.2286218194640366j),(-1.3820524911275052-0.4308155309032983j),(2.0608981457612847-2.38523788147656j),(-0.7883108502471723+0.8274310038493959j),(1.9232440941697213-0.17069361661394833j),0.07928031720687462
I081,84,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.18681871442484194-0.02275330845342416j),(-0.8364683419603581+0.4752118005393078j),(-0.17502822684356917-2.0166960583330913j),(0.3229887377247302+0.23401408260942555j),(0.6000190085724175+3.541761117484023j),(-10.808615882731926+1.4604604015355074j),(-0.007009873989836102-12.238760146191769j),(-3.402512530691968-0.06757080557082418j),(2.4491080328978114-2.6208970189219403j),(-2.33550919779882+1.6285714006171097j),0.021938214355368208
I082,85,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.18681871442484194+0.02275330845342416j),(-0.8364683419603581-0.4752118005393078j),(-0.17502822684356917+2.0166960583330913j),(0.3229887377247302-0.23401408260942555j),(0.6000190085724175-3.541761117484023j),(-10.808615882731926-1.4604604015355074j),(-0.007009873989836102+12.238760146191769j),(-3.402512530691968+0.06757080557082418j),(2.4491080328978114+2.6208970189219403j),(-2.33550919779882-1.6285714006171097j),0.021938214355368208
I083,86,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1766435838812318-0.1330126787258202j),(0.8682046625809319+0.8451310665862565j),(2.288982839915287+0.29377901316547883j),(-1.6018587089317515+0.13431006843682392j),(2.402111012305311+2.2244989427698885j),(5.081605202573593+0.4398331739750888j),(0.5195600192223733-0.44929734637935564j),(3.5728308092676055+0.9092158988570231j),(0.5595951649479742-1.1728281498790065j),(1.9742295420005913+1.469163501031224j),0.042916013226580424
I084,87,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1766435838812318+0.1330126787258202j),(0.8682046625809319-0.8451310665862565j),(2.288982839915287-0.29377901316547883j),(-1.6018587089317515-0.13431006843682392j),(2.402111012305311-2.2244989427698885j),(5.081605202573593-0.4398331739750888j),(0.5195600192223733+0.44929734637935564j),(3.5728308092676055-0.9092158988570231j),(0.5595951649479742+1.1728281498790065j),(1.9742295420005913-1.469163501031224j),0.042916013226580424
I085,88,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1619937554551005-0.06975326685701821j),(3.2311590219966253-1.5266524236905001j),(1.4581270387611118-0.5776773326583653j),(-1.7346293948428166+0.5695483287708409j),(7.509033195100425-9.014620257396665j),(2.0140946825339565-3.494584589575811j),(-8.03156408401512-3.12153401861304j),(1.3490800248156596-5.147487830503238j),(5.232782160481316+1.2954686829183082j),(3.155511080110001-2.3253852278484057j),0.02399545498675294
I086,89,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1619937554551005+0.06975326685701821j),(3.2311590219966253+1.5266524236905001j),(1.4581270387611118+0.5776773326583653j),(-1.7346293948428166-0.5695483287708409j),(7.509033195100425+9.014620257396665j),(2.0140946825339565+3.494584589575811j),(-8.03156408401512+3.12153401861304j),(1.3490800248156596+5.147487830503238j),(5.232782160481316-1.2954686829183082j),(3.155511080110001+2.3253852278484057j),0.02399545498675294
I087,90,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1185106242555406-1.0796190196798159j),(-2.830896605514438-0.42876197193902127j),(-1.1547539245952017+0.7992475517064077j),(2.1544873913152793+0.3527274220490445j),(4.04491646059313+3.455456703888695j),(0.3129468169709728-2.9046312439189212j),(7.2100098944652515+3.1484335043367313j),(13.003977990907224+4.074130895017738j),(2.6565583387480913+1.3156295076361815j),(1.2974311951578352+1.321119265756228j),0.062190418494788034
I088,91,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.1185106242555406+1.0796190196798159j),(-2.830896605514438+0.42876197193902127j),(-1.1547539245952017-0.7992475517064077j),(2.1544873913152793-0.3527274220490445j),(4.04491646059313-3.455456703888695j),(0.3129468169709728+2.9046312439189212j),(7.2100098944652515-3.1484335043367313j),(13.003977990907224-4.074130895017738j),(2.6565583387480913-1.3156295076361815j),(1.2974311951578352-1.321119265756228j),0.062190418494788034
I089,92,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.08940054909746054+1.1575899821668557e-18j),(0.6863030821940773-8.554517750401891e-19j),(-1.2233686307624727+5.197141875477249e-19j),(1.6431044198226994-2.299182391453338e-19j),(2.1171931199195138+1.2342144639209696e-18j),(2.0247093526578794+4.0623635870407384e-19j),(2.0063619114173177+1.5114214434414586e-19j),(2.0973356370819136+9.889801038423613e-19j),(2.01772052636076+1.313991093965018e-19j),(2.0069138019545516+9.336655996565653e-20j),0.01613061341275423
I090,93,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.056738813821448075-0.7252500557670147j),(2.2059817481705815-0.8640567865147917j),(1.7275286102201508-0.7493687614351491j),(-0.044785683934149445-2.4226417034191385j),(7.879578412333959-1.440692136584338j),(-3.063586263785029-3.898139281759188j),(-17.409950556497073-12.412318863710968j),(4.402052508386792-0.5406033852294474j),(3.140795046749484-8.926467704303166j),(-1.5583588432793656-3.5483625570483346j),0.05300153439828859
I091,94,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.056738813821448075+0.7252500557670147j),(2.2059817481705815+0.8640567865147917j),(1.7275286102201508+0.7493687614351491j),(-0.044785683934149445+2.4226417034191385j),(7.879578412333959+1.440692136584338j),(-3.063586263785029+3.898139281759188j),(-17.409950556497073+12.412318863710968j),(4.402052508386792+0.5406033852294474j),(3.140795046749484+8.926467704303166j),(-1.5583588432793656+3.5483625570483346j),0.05300153439828859
I092,95,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.05529663705874665-0.9265339801886565j),(1.4363077003791838+0.20789897501030868j),(0.31749685174320386+0.7086693026152445j),(2.0856900293093705-0.2094109567417276j),(1.0908603198881863-1.4847682385470895j),(-0.21361607313619801+0.5080431021465692j),(2.4858623099912602+0.17351303547651686j),(1.4200680572889954+0.023474269093479272j),(2.265551212483121-0.7904548034958871j),(2.6622819018592487-1.3401894617167467j),0.11224300289295215
I093,96,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.05529663705874665+0.9265339801886565j),(1.4363077003791838-0.20789897501030868j),(0.31749685174320386-0.7086693026152445j),(2.0856900293093705+0.2094109567417276j),(1.0908603198881863+1.4847682385470895j),(-0.21361607313619801-0.5080431021465692j),(2.4858623099912602-0.17351303547651686j),(1.4200680572889954-0.023474269093479272j),(2.265551212483121+0.7904548034958871j),(2.6622819018592487+1.3401894617167467j),0.11224300289295215
I094,97,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.02227192535340053-0.870338073782195j),(-2.4034391088580707+0.36729923531735154j),(1.5615654192301458+0.18774048770092966j),(0.1244282595662026+0.7634745586841925j),(4.019326421937841-1.9858233378963734j),(-1.9779899213836818+0.8865343487888475j),(-3.2435374199414397+0.3003941782729303j),(2.5452497421335636-1.2469043997278155j),(1.2128362359351774-0.7205189150018154j),(-0.20787822387798016+0.14722235161430658j),0.04136898075599926
I095,98,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-0.02227192535340053+0.870338073782195j),(-2.4034391088580707-0.36729923531735154j),(1.5615654192301458-0.18774048770092966j),(0.1244282595662026-0.7634745586841925j),(4.019326421937841+1.9858233378963734j),(-1.9779899213836818-0.8865343487888475j),(-3.2435374199414397-0.3003941782729303j),(2.5452497421335636+1.2469043997278155j),(1.2128362359351774+0.7205189150018154j),(-0.20787822387798016-0.14722235161430658j),0.04136898075599926
I-TZ,99,IRREDUCIBLE,ISOLATED,NONREDUCED_DOUBLE_C_EPS_OVER_EPS2,EXACT_Q_SQRT_MINUS3,0j,0j,0j,0j,(-2+0j),(-2+0j),(2+0j),(-2+0j),(-2+0j),(-2+0j),3.2394517730062976e-09
I096,100,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(9.895751769990168e-17-1.3578440455366014e-16j),(1+0j),(1.5739495178523941-0.36898940748180376j),(-1.2044900891938517-0.2823750566890959j),(0.3710607023260417+0.6802359144351376j),(1.7122246042400535-0.4813054855621151j),(0.3710607023260417+0.6802359144351355j),(0.7672143840616172-0.7925519925154473j),(0.37106070232604216+0.6802359144351361j),(1.0549897798215642-0.3112465069533322j),0.1066645965275297
I097,101,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(9.895751769990168e-17+1.3578440455366014e-16j),(1+0j),(1.5739495178523941+0.36898940748180376j),(-1.2044900891938517+0.2823750566890959j),(0.3710607023260417-0.6802359144351376j),(1.7122246042400535+0.4813054855621151j),(0.3710607023260417-0.6802359144351355j),(0.7672143840616172+0.7925519925154473j),(0.37106070232604216-0.6802359144351361j),(1.0549897798215642+0.3112465069533322j),0.1066645965275297
I098,102,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(4.851431642240359e-15+1.8823614162848894e-20j),(1.0000000000000033+1.392901388822834e-20j),(-1.1478990357047856+6.510641666176847e-21j),(1.7423135117210382+5.095660371112529e-21j),(2.0356563731256925+9.553126769999694e-21j),(2.353328569297683+3.932420853695743e-20j),(2.0356563731256925+3.52268621866192e-21j),(2.465571231876785+6.474637987715659e-20j),(2.0356563731256925+3.972737891352984e-21j),(2.1122426625790993+1.2753446280863326e-20j),0.001156616834956601
