atlas_id,root_index,character_class,local_support_status,local_scheme_status,certification,trace_a,trace_b,trace_A,trace_B,kappa_ab,kappa_aA,kappa_aB,kappa_bA,kappa_bB,kappa_AB,min_complex_jacobian_singular_value
I012,13,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.9107768149792412+1.213307166775478j),(-0.7933048823739558-0.936879192384115j),(-0.28596033358642203+0.3061121569474068j),(-0.04470052536337236-1.7721196453370434j),(-1.957283436027434-4.269128286436174j),(-0.08012300648892778-5.306909033177423j),(-2.8404762287830154-8.75582897605319j),(-2.1247627222301126+3.2989618737053927j),(-14.799493986097964-2.1321125614744947j),(-0.7075522904857006+3.6735806818999848j),0.03331486892576765
I013,14,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.901578534698339-1.0873989130275667j),(-0.5452509732265164+0.23310063971374295j),(-0.9552491261895839+0.19488283699487718j),(-1.0093681168787756+1.8632835110511912j),(-1.349194391671184+3.562295081810431j),(-0.0021686012466952675+2.619450305159981j),(-3.8184681173270976+4.296583600504409j),(-0.45700164849517266-1.1708871622693016j),(-8.164861500178477-18.395672442686077j),(7.8172959450351165+3.567847010355517j),0.032438293884607304
I014,15,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.901578534698339+1.0873989130275667j),(-0.5452509732265164-0.23310063971374295j),(-0.9552491261895839-0.19488283699487718j),(-1.0093681168787756-1.8632835110511912j),(-1.349194391671184-3.562295081810431j),(-0.0021686012466952675-2.619450305159981j),(-3.8184681173270976-4.296583600504409j),(-0.45700164849517266+1.1708871622693016j),(-8.164861500178477+18.395672442686077j),(7.8172959450351165-3.567847010355517j),0.032438293884607304
I015,16,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.879496699055656-2.5105182698309165j),(-1.8957748463416992-0.323167672115135j),(-0.34906430481205+0.1562277271551109j),(1.3973420767415194+0.42647508993236827j),(3.619914818080062+0.3297973569853383j),(-4.118365880641034+9.258518210268084j),(-3.565232854424778+6.716064239411256j),(1.3954534709041084+1.0778655393807275j),(2.099178778831191+0.623646961417962j),(0.5582883121847262+1.8494866722305656j),0.027240417673653903
I016,17,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.879496699055656+2.5105182698309165j),(-1.8957748463416992+0.323167672115135j),(-0.34906430481205-0.1562277271551109j),(1.3973420767415194-0.42647508993236827j),(3.619914818080062-0.3297973569853383j),(-4.118365880641034-9.258518210268084j),(-3.565232854424778-6.716064239411256j),(1.3954534709041084-1.0778655393807275j),(2.099178778831191-0.623646961417962j),(0.5582883121847262-1.8494866722305656j),0.027240417673653903
I017,18,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.8154020225164418-0.17105383194592627j),(0.47666635806297175+1.3064380347232776j),(1.1960339481335356+1.7256751118957903j),(-3.07213305598999-5.063055390203354j),(3.3372366912630724-1.0303669159124151j),(-5.343845545671773+16.106084662618635j),(-3.4764531081211203+23.096270763807j),(-11.70373758839138+8.33202526363107j),(-16.056289135870937+48.64287790728264j),(6.945093517881769+17.80206321743884j),0.030954445639883744
I018,19,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.8154020225164418+0.17105383194592627j),(0.47666635806297175-1.3064380347232776j),(1.1960339481335356-1.7256751118957903j),(-3.07213305598999+5.063055390203354j),(3.3372366912630724+1.0303669159124151j),(-5.343845545671773-16.106084662618635j),(-3.4764531081211203-23.096270763807j),(-11.70373758839138-8.33202526363107j),(-16.056289135870937-48.64287790728264j),(6.945093517881769-17.80206321743884j),0.030954445639883744
I019,20,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.76929235423863-6.81649363637289e-20j),(-0.9999999999999976-1.3808268137015474e-19j),(2.1698593836407653e-15-1.3186091960821496e-19j),(1.0000000000000016-7.45621731027325e-20j),(2.130395434767281-1.4386110803632457e-19j),(2.13039543476728-1.0703093662521766e-19j),(2.13039543476728-1.0897926706120885e-19j),(2.13039543476728-1.5549587917102647e-19j),(2-1.9636305025140287e-20j),(2.1303954347672818-9.353492848559757e-20j),0.015435694041302619
I020,21,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7680461614030367+2.220446049250313e-16j),(-1.9291257774094803-4.440892098500626e-16j),(1.467188314160024-4.440892098500626e-16j),(-4.0612449810660545+7.993605777301127e-15j),(8.733811921193412-3.6495611915991984e-14j),(9.237239955220938-4.0541006670972274e-14j),(59.946191519141045-4.425678423072805e-14j),(2.1355142323951544-3.177540505738065e-16j),(66.52739051968662-2.3074411703273517e-13j),(98.85967624285082-1.976968054473403e-13j),0.02312514683559149
I021,22,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-1.7435052317007282-0.626317235209354j),(1.3008392499381336-1.1277720907890334j),(0.6164354665420667+0.12731523779470916j),(-0.09188306588087682+0.1525052311271355j),(-3.117098421367358-1.4528284003327094j),(0.8123478397209332+2.4087879544148723j),(4.636741274977169+0.0053255427610067185j),(-0.533473664438378-0.44390362132939964j),(-1.5584392970978518-2.970402924296554j),(-1.070544977161503-0.5474362128579129j),0.03930211807014018
