theta,A0,A_floor,bound
1.310019593,5.720706784e-02,5.720706784e-02,0
1.313087554,5.721027883e-02,5.721027883e-02,0
1.316155516,5.721319736e-02,5.721319736e-02,0
1.319223478,5.721582618e-02,5.721582618e-02,0
1.322291439,5.721816804e-02,5.721816804e-02,0
1.325359401,5.722022569e-02,5.722022569e-02,0
1.328427362,5.722200190e-02,5.722200190e-02,0
1.331495324,5.722349946e-02,5.722349946e-02,0
1.334563285,5.722472115e-02,5.722472115e-02,0
1.337631247,5.722566976e-02,5.722566976e-02,0
1.340699209,5.722634811e-02,5.722634811e-02,0
1.343767170,5.722675901e-02,5.722675901e-02,0
1.346835132,5.722690528e-02,5.722690528e-02,0
1.349903093,5.722678976e-02,5.722678976e-02,0
1.352971055,5.722641528e-02,5.722641528e-02,0
1.356039016,5.722578471e-02,5.722578471e-02,0
1.359106978,5.722490090e-02,5.722490090e-02,0
1.362174940,5.722376671e-02,5.722376671e-02,0
1.365242901,5.722238502e-02,5.722238502e-02,0
1.368310863,5.722075872e-02,5.722075872e-02,0
1.371378824,5.721889068e-02,5.721889068e-02,0
1.374446786,5.721678382e-02,5.721678382e-02,0
1.377514748,5.721444103e-02,5.721444103e-02,0
1.380582709,5.721186522e-02,5.721186522e-02,0
1.383650671,5.720905932e-02,5.720905932e-02,0
1.386718632,5.720602624e-02,5.720602624e-02,0
1.389786594,5.720276893e-02,5.720276893e-02,0
1.392854555,5.719929031e-02,5.719929031e-02,0
1.395922517,5.719559334e-02,5.719559334e-02,0
1.398990479,5.719168096e-02,5.719168096e-02,0
1.402058440,5.718755612e-02,5.718755612e-02,0
1.405126402,5.718322180e-02,5.718322180e-02,0
1.408194363,5.717868095e-02,5.717868095e-02,0
1.411262325,5.717393655e-02,5.717393655e-02,0
1.414330286,5.716899157e-02,5.716899157e-02,0
1.417398248,5.716384900e-02,5.716384900e-02,0
1.420466210,5.715851182e-02,5.715851182e-02,0
1.423534171,5.715298303e-02,5.715298303e-02,0
1.426602133,5.714726561e-02,5.714726561e-02,0
1.429670094,5.714136257e-02,5.714136257e-02,0
1.432738056,5.713527690e-02,5.713527690e-02,0
1.435806017,5.712901162e-02,5.712901162e-02,0
1.438873979,5.712256974e-02,5.712256974e-02,0
1.441941941,5.711595425e-02,5.711595425e-02,0
1.445009902,5.710916820e-02,5.710916820e-02,0
1.448077864,5.710221458e-02,5.710221458e-02,0
1.451145825,5.709509642e-02,5.709509642e-02,0
1.454213787,5.708781674e-02,5.708781674e-02,0
1.457281748,5.708037857e-02,5.708037857e-02,0
1.460349710,5.707278494e-02,5.707278494e-02,0
1.463417672,5.706503887e-02,5.706503887e-02,0
