ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,eps,h,n_steps
21,-1.9649799302457676,-0.21456875059711783,1.9766602831547635,True,0.8175,0.05,1.9766602831547635,0.05,1.0,0.05,0.01,2000
22,0.332919959465445,-0.8606060942281926,0.9227559530196369,True,0.855,0.04999999999999999,0.9227559530196369,0.04999999999999999,1.0,0.05,0.01,2000
23,-1.7845943930355888,0.5429218918997465,1.8653528696624833,True,0.82,0.049999999999999996,1.8653528696624833,0.049999999999999996,1.0,0.05,0.01,2000
24,0.020021712149712503,-0.8125315675684853,0.8127782091399265,True,0.8615,0.04999999999999999,0.8127782091399265,0.05000000000000001,1.0,0.05,0.01,2000
25,-0.6057051691209088,-0.1831737618365582,0.63279647512067,True,0.874,0.05,0.63279647512067,0.05,1.0,0.05,0.01,2000
26,-0.1725215205095974,0.3862128125194973,0.4229941034969209,True,0.894,0.05,0.4229941034969209,0.05,1.0,0.05,0.01,2000
27,0.5131810291775885,-1.0972835821083078,1.2113571018788012,True,0.8415,0.05,1.2113571018788012,0.05,1.0,0.05,0.01,2000
28,-0.5527045011006064,1.8712341594515125,1.9511533883923833,True,0.818,0.05,1.9511533883923833,0.05,1.0,0.05,0.01,2000
29,0.2681785341321942,1.1108799000630192,1.142792141438379,True,0.8445,0.049999999999999996,1.142792141438379,0.05,1.0,0.05,0.01,2000
30,1.3831867394893562,1.1844357177632607,1.8210144221868663,True,0.8215,0.05,1.8210144221868663,0.05,1.0,0.05,0.01,2000
31,1.2023719442609964,-0.2626391705848474,1.230722400166449,True,0.841,0.049999999999999996,1.230722400166449,0.05,1.0,0.05,0.01,2000
32,0.11158776486850178,1.301136910388812,1.305913124539489,True,0.838,0.05,1.305913124539489,0.05000000000000001,1.0,0.05,0.01,2000
33,-1.268323138674144,-0.5840020342326009,1.3963172848905252,True,0.8345,0.049999999999999996,1.3963172848905252,0.049999999999999996,1.0,0.05,0.01,2000
34,-0.5108199935863984,0.222876329288574,0.557324792203574,True,0.8805,0.049999999999999996,0.557324792203574,0.05,1.0,0.05,0.01,2000
35,1.2354149406726151,-0.24496172317451848,1.259466681360706,True,0.8395,0.049999999999999996,1.259466681360706,0.049999999999999996,1.0,0.05,0.01,2000
36,-1.8413714511809265,-0.6241366425879946,1.9442724525758126,True,0.818,0.05,1.9442724525758126,0.05,1.0,0.05,0.01,2000
37,-0.4084571033208384,0.11968748083385689,0.42563164628773187,True,0.8935,0.04999999999999999,0.42563164628773187,0.05,1.0,0.05,0.01,2000
38,-1.0365142414621038,-0.7634685111383457,1.2873406465475883,True,0.8385,0.049999999999999996,1.2873406465475883,0.05,1.0,0.05,0.01,2000
39,0.1512398147901483,-0.8136836834435198,0.8276198513085415,True,0.8605,0.049999999999999996,0.8276198513085415,0.05,1.0,0.05,0.01,2000
40,0.08187516278556775,0.2295244646919412,0.24369042281814315,True,0.9215,0.05,0.24369042281814315,0.05,1.0,0.05,0.01,2000
41,-1.3844156170598942,-0.8664256866783598,1.6331870901079872,True,0.827,0.049999999999999996,1.6331870901079872,0.05,1.0,0.05,0.01,2000
42,0.8260941935366647,-0.13416736593393352,0.836918454018456,True,0.86,0.049999999999999996,0.836918454018456,0.049999999999999996,1.0,0.05,0.01,2000
43,-0.3806305223593877,-1.2694602778427655,1.325295812855459,True,0.837,0.04999999999999999,1.325295812855459,0.05,1.0,0.05,0.01,2000
44,-0.2670530207180213,-0.3924826454844605,0.4747209105159584,True,0.8885,0.05,0.4747209105159584,0.05,1.0,0.05,0.01,2000
45,-0.7218841949594176,0.40013854832460016,0.8253651608757937,True,0.861,0.049999999999999996,0.8253651608757937,0.05,1.0,0.05,0.01,2000
46,0.6207549340028167,-0.8956405208203636,1.0897286958799486,True,0.847,0.05,1.0897286958799486,0.05,1.0,0.05,0.01,2000
47,-0.20328745401846046,-0.07536323378993727,0.21680730146511307,True,0.9275,0.04999999999999999,0.21680730146511307,0.05,1.0,0.05,0.01,2000
48,-0.5510118019135546,0.33141902516836774,0.6430027807805916,True,0.873,0.04999999999999999,0.6430027807805916,0.05,1.0,0.05,0.01,2000
49,0.12237277658314925,-0.16149130859110278,0.20261919750886428,True,0.9305,0.05,0.20261919750886428,0.05,1.0,0.05,0.01,2000
50,0.5587062500757564,0.6424783313704797,0.8514288462075439,True,0.859,0.04999999999999999,0.8514288462075439,0.05,1.0,0.05,0.01,2000
51,0.43801390304122967,0.5635347098112671,0.7137419340486313,True,0.868,0.04999999999999999,0.7137419340486313,0.049999999999999996,1.0,0.05,0.01,2000
52,0.058017837124371786,0.5375084977401161,0.5406306082413633,True,0.882,0.049999999999999996,0.5406306082413633,0.049999999999999996,1.0,0.05,0.01,2000
53,1.6168229508747407,-0.17821063797941122,1.6266147318785518,True,0.827,0.049999999999999996,1.6266147318785518,0.05,1.0,0.05,0.01,2000
54,-0.26140958476724346,1.6943608278802567,1.7144076487414688,True,0.8245,0.05,1.7144076487414688,0.05,1.0,0.05,0.01,2000
55,0.47622130200705215,1.381561422641234,1.4613345588932611,True,0.8325,0.05,1.4613345588932611,0.05,1.0,0.05,0.01,2000
56,-0.41389652794649723,-0.5239150217874412,0.6676805268245439,True,0.8715,0.05,0.6676805268245439,0.05,1.0,0.05,0.01,2000
57,-0.4597262081112838,-1.9136671963894254,1.9681133923027259,True,0.8175,0.05,1.9681133923027259,0.05,1.0,0.05,0.01,2000
58,0.6215952140344418,-1.0361795863711236,1.2083247681491744,True,0.842,0.04999999999999999,1.2083247681491744,0.04999999999999999,1.0,0.05,0.01,2000
59,1.0160580403213526,0.46746773028644517,1.1184364175762644,True,0.8455,0.05,1.1184364175762644,0.05,1.0,0.05,0.01,2000
60,0.44495492305202866,0.6541602000840645,0.7911450252148844,True,0.863,0.049999999999999996,0.7911450252148844,0.049999999999999996,1.0,0.05,0.01,2000
61,0.5186021707292429,0.67659342797605,0.8524827730021676,True,0.859,0.05,0.8524827730021676,0.05,1.0,0.05,0.01,2000
62,0.4905990284695629,-0.7459004017007063,0.8927792649880226,True,0.857,0.05,0.8927792649880226,0.05,1.0,0.05,0.01,2000
63,1.364850007068991,0.8343878542572836,1.5996932934560608,True,0.828,0.04999999999999999,1.5996932934560608,0.05,1.0,0.05,0.01,2000
64,1.7948199358177337,-0.3783068252807556,1.834255886200935,True,0.821,0.049999999999999996,1.834255886200935,0.049999999999999996,1.0,0.05,0.01,2000
65,-1.39821219844277,0.6733320570854774,1.5518934921485832,True,0.8295,0.049999999999999996,1.5518934921485832,0.05,1.0,0.05,0.01,2000
66,-0.8155608257869029,-0.5123297977198001,0.9631309787302174,True,0.853,0.049999999999999996,0.9631309787302174,0.05,1.0,0.05,0.01,2000
67,-0.988110760488865,0.11461665013364035,0.9947360712680227,True,0.8515,0.05,0.9947360712680227,0.05,1.0,0.05,0.01,2000
68,0.35347811781172445,0.32111812579264043,0.4775600804969961,True,0.888,0.05,0.4775600804969961,0.05000000000000001,1.0,0.05,0.01,2000
69,-0.5108558587634331,-0.040250858855005206,0.5124391086475448,True,0.8845,0.05,0.5124391086475448,0.05,1.0,0.05,0.01,2000
70,-0.17844256044053908,0.6992104865678423,0.7216211276722809,True,0.8675,0.05,0.7216211276722809,0.05,1.0,0.05,0.01,2000
71,-0.024979160692724236,0.6596368781282268,0.6601096647191784,True,0.872,0.049999999999999996,0.6601096647191784,0.05,1.0,0.05,0.01,2000
72,0.5447403257614097,1.4878515855801917,1.5844381853591314,True,0.8285,0.05,1.5844381853591314,0.05,1.0,0.05,0.01,2000
73,-0.3485900952980903,1.6912058890835373,1.7267577750833407,True,0.824,0.049999999999999996,1.7267577750833407,0.05,1.0,0.05,0.01,2000
74,-0.16496297551849953,-0.7201767511546996,0.7388283536760452,True,0.8665,0.049999999999999996,0.7388283536760452,0.05,1.0,0.05,0.01,2000
75,-1.236744744096616,0.19239513263486707,1.251620329457856,True,0.84,0.05,1.251620329457856,0.05000000000000001,1.0,0.05,0.01,2000
76,0.8953566976546881,-0.5312380551105811,1.0410943699937971,True,0.849,0.049999999999999996,1.0410943699937971,0.049999999999999996,1.0,0.05,0.01,2000
77,1.1448268044977152,-0.35170864777509797,1.19763407817924,True,0.842,0.049999999999999996,1.19763407817924,0.049999999999999996,1.0,0.05,0.01,2000
78,0.2807966463120392,-0.14623519861484013,0.3165935720983769,True,0.9085,0.04999999999999999,0.3165935720983769,0.05,1.0,0.05,0.01,2000
79,0.26155486441556275,-0.5293613050085525,0.5904526554600302,True,0.8775,0.05,0.5904526554600302,0.05,1.0,0.05,0.01,2000
80,0.5703285787134033,0.0037441103202133937,0.570340868305385,True,0.879,0.049999999999999996,0.570340868305385,0.049999999999999996,1.0,0.05,0.01,2000
81,-0.6491182145077333,-0.5923417050445284,0.8787622840909632,True,0.8575,0.05,0.8787622840909632,0.05,1.0,0.05,0.01,2000
82,1.35397367846042,-0.3702541763889064,1.4036854623087995,True,0.8345,0.05,1.4036854623087995,0.05,1.0,0.05,0.01,2000
