theta,E_vac
0.42337869745643697,1.9543088496833204e-06
0.42644665903220824,1.9833894508411994e-06
0.4295146206079795,2.012710589409531e-06
0.4325825821837508,2.0422713837075067e-06
0.4356505437595221,2.0720709104461244e-06
0.4387185053352934,2.1021082047554342e-06
0.44178646691106466,2.132382260221763e-06
0.44485442848683593,2.1628920289346843e-06
0.4479223900626072,2.193636421544095e-06
0.45099035163837853,2.2246143073268363e-06
0.4540583132141498,2.2558245142635508e-06
0.45712627478992107,2.2872658291250646e-06
0.46019423636569234,2.3189369975687807e-06
0.4632621979414636,2.350836724244826e-06
0.4663301595172349,2.3829636729119993e-06
0.4693981210930062,2.415316466563506e-06
0.4724660826687775,2.4478936875623227e-06
0.47553404424454876,2.4806938777864984e-06
0.47860200582032003,2.5137155387837837e-06
